[13-Dec-2013 19:09:38 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 19:09:38 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\header.inc.php on line 60
[13-Dec-2013 19:09:38 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\footer.inc.php on line 37
[13-Dec-2013 19:09:38 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\footer.inc.php on line 128
[13-Dec-2013 19:09:42 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\header.inc.php on line 14
[13-Dec-2013 19:09:42 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\header.inc.php on line 17
[13-Dec-2013 19:09:42 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 19:09:42 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\header.inc.php on line 60
[13-Dec-2013 19:09:42 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\footer.inc.php on line 37
[13-Dec-2013 19:09:42 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\footer.inc.php on line 128
[13-Dec-2013 19:09:52 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\header.inc.php on line 14
[13-Dec-2013 19:09:52 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\header.inc.php on line 17
[13-Dec-2013 19:09:52 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 19:09:52 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\p2\xampp\htdocs\getsimplecms1\theme\Bootstrap3\header.inc.php on line 60
